"","long","lat","order","hole","piece","group","id"
"80",-95.7509941,29.76969419,10060,FALSE,"1","1054.1",1054
"81",-95.7509021,29.76970419,10061,FALSE,"1","1054.1",1054
"82",-95.7506201,29.76974619,10062,FALSE,"1","1054.1",1054
"83",-95.7504791,29.76977319,10063,FALSE,"1","1054.1",1054
"84",-95.7502531,29.76982319,10064,FALSE,"1","1054.1",1054
"85",-95.7500781,29.76986819,10065,FALSE,"1","1054.1",1054
"86",-95.7500131,29.76990419,10066,FALSE,"1","1054.1",1054
"87",-95.7499891,29.76991019,10067,FALSE,"1","1054.1",1054
"88",-95.7497771,29.76996719,10068,FALSE,"1","1054.1",1054
"89",-95.7496121,29.77003519,10069,FALSE,"1","1054.1",1054
"90",-95.7495131,29.77007519,10070,FALSE,"1","1054.1",1054
"91",-95.7494441,29.77010419,10071,FALSE,"1","1054.1",1054
"92",-95.7491831,29.77022719,10072,FALSE,"1","1054.1",1054
"93",-95.7490491,29.77029619,10073,FALSE,"1","1054.1",1054
"94",-95.7486971,29.77048619,10074,FALSE,"1","1054.1",1054
"95",-95.7485461,29.77056719,10075,FALSE,"1","1054.1",1054
"96",-95.7482721,29.77071519,10076,FALSE,"1","1054.1",1054
"97",-95.7476281,29.77106119,10077,FALSE,"1","1054.1",1054
"98",-95.7474961,29.77112819,10078,FALSE,"1","1054.1",1054
"99",-95.7471981,29.77126119,10079,FALSE,"1","1054.1",1054
"100",-95.7470431,29.77132419,10080,FALSE,"1","1054.1",1054
"101",-95.7468081,29.77140719,10081,FALSE,"1","1054.1",1054
"102",-95.7465481,29.77148219,10082,FALSE,"1","1054.1",1054
"103",-95.7462321,29.77156419,10083,FALSE,"1","1054.1",1054
"104",-95.7460271,29.77160519,10084,FALSE,"1","1054.1",1054
"105",-95.7457371,29.77165519,10085,FALSE,"1","1054.1",1054
"106",-95.7454861,29.77168619,10086,FALSE,"1","1054.1",1054
"107",-95.7452361,29.77170219,10087,FALSE,"1","1054.1",1054
"108",-95.7450721,29.77170819,10088,FALSE,"1","1054.1",1054
"109",-95.7444991,29.77171819,10089,FALSE,"1","1054.1",1054
"110",-95.7441201,29.77172019,10090,FALSE,"1","1054.1",1054
"111",-95.7424931,29.77173119,10091,FALSE,"1","1054.1",1054
"112",-95.7415821,29.77173719,10092,FALSE,"1","1054.1",1054
"113",-95.7410421,29.77174219,10093,FALSE,"1","1054.1",1054
"114",-95.7400951,29.77175219,10094,FALSE,"1","1054.1",1054
"115",-95.7394711,29.77175219,10095,FALSE,"1","1054.1",1054
"116",-95.7380621,29.77176319,10096,FALSE,"1","1054.1",1054
"117",-95.7370181,29.77176619,10097,FALSE,"1","1054.1",1054
"118",-95.7370191,29.77151019,10098,FALSE,"1","1054.1",1054
"119",-95.7370291,29.77130119,10099,FALSE,"1","1054.1",1054
"120",-95.7370591,29.77099919,10100,FALSE,"1","1054.1",1054
"121",-95.7371101,29.77066119,10101,FALSE,"1","1054.1",1054
"122",-95.7371491,29.77047719,10102,FALSE,"1","1054.1",1054
